hours,dp3plus,dp2,glu,gal,dp2split
1,23.79,38.34,10.43,1.01,16.23
2,35.37,32.46,12.23,1.21,21.68
3,39.83,29.56,14.55,1.34,29.56
4,42.8,26.34,16.35,1.42,34.78
5,43.83,25.78,18.23,1.67,48.56
6,44.53,24.67,19.11,1.58,59.32
