hours,dp3plus,dp2,glu,gal,dp2split
1,23.78504115,,65.80366872,9.09174992,1.319540203
2,35.36708701,,48.69469712,14.69167978,1.246536088
3,39.82646197,,41.07367234,17.43055756,1.669308131
4,42.80289899,,36.98837385,19.26427362,1.092886609
5,43.82823711,,33.82685637,20.30856493,2.03634159
6,44.52707378,,33.47055799,21.04787325,1.176879183
