hours,dp3plus,dp2,glu,gal,dp2split
1,23.79,,65.80,9.09,1.32
2,35.37,,48.69,14.69,1.25
3,39.83,,41.07,17.43,1.67
4,42.80,,36.99,19.26,1.09
5,43.83,,33.83,20.31,2.04
6,44.53,,33.47,21.05,1.18
