time,dp3plus,dp2,glu,gal,dp2split
1,35.74%,46.40%,16.06%,1.80%,26.50%
2,42.53%,35.31%,20.03%,2.12%,47.76%
3,44.15%,32.87%,21.64%,1.35%,62.63%
4,43.64%,32.58%,22.42%,1.86%,68.87%
5,43.17%,32.52%,22.41%,1.91%,71.46%
