,1,2,3,4,5,6,7,8
DP7,0,0,0,0,0,0,0,0
DP6,0,0,0,0,0,0,0,0
DP5,0,0,0,0,0,0,0,0
DP4,0.002300850778307,0.00146630657673,0.002835151405519,0.003408534766381,0.003854143269663,0.004224587183006,0.004613239180671,0.004676743628386
DP3,0.041301297272503,0.05952955740379,0.065846747732488,0.06961344625277,0.068209428895672,0.069461031788778,0.069712752647597,0.069863915015725
DP2,0.526323516609886,0.406312984286497,0.339850642013469,0.303657863904093,0.265036715368779,0.241782083797103,0.232780310466704,0.225658021222831
Glucose,0.342726786612267,0.406670680884019,0.444432954507815,0.459364233695197,0.481549800000994,0.494919475204305,0.503178546797727,0.509479091469928
Galactose,0.087347548727038,0.126020470848964,0.147034504340709,0.163955921381559,0.181349912464892,0.189612822026808,0.189715150907302,0.19032222866313
